Date,Open,Close,High,Low,Volume,RSI14,SMA14,EMA14,MACD_sl,MACD_h,Log_Returns,Log_Trading_Range,Log_Volume_Change,Previous_10_Day_Volatility,Previous_30_Day_Volatility,Next_10_Days_Volatility
1990-07-24,355.31,355.79,356.09,351.46,181920000,44.56,361.63,361.1,0.0,0.0,0.0013500212991202076,0.013087601123286774,-0.13891075233146566,0.009858389048175719,0.008528250024565634,0.011472270422991109
1990-07-25,355.79,357.09,357.52,354.8,163530000,51.91,361.73,360.56,0.0,0.0,0.003647181688481993,0.007637054189771675,-0.10657057025792582,0.008823089467580694,0.008197564230104575,0.01146127460287777
1990-07-26,357.09,355.91,357.47,353.95,155040000,46.45,361.55,359.94,1.7,-1.57,-0.0033099609462103885,0.00989578230879573,-0.05331331160184405,0.00760684894457244,0.008193273632616946,0.012276361509259905
1990-07-27,355.91,353.44,355.94,352.14,149070000,41.73,361.12,359.07,1.28,-1.66,-0.00696415022988095,0.010733353523541211,-0.039267153860116366,0.007187043490081195,0.008226412314232573,0.01268087105685545
1990-07-30,353.44,355.55,355.55,351.15,146470000,48.69,361.05,358.6,0.9,-1.51,0.00595214665772037,0.012452403724497962,-0.017595364952121884,0.007391930438947535,0.008319548715363232,0.012953129523962081
1990-07-31,355.55,356.15,357.54,353.91,175380000,41.99,360.69,358.28,0.58,-1.31,0.0016861040948361605,0.010204600465081981,0.18013441902099103,0.007583864293363104,0.007753061549536806,0.013377368664276218
1990-08-01,356.15,355.52,357.35,353.82,178260000,32.36,359.98,357.91,0.29,-1.16,-0.0017704839730976474,0.009927384425520991,0.01628811035136124,0.007300855730773944,0.007711222693867511,0.013373915753800564
1990-08-02,355.52,351.48,355.52,349.73,253090000,23.87,358.85,357.05,-0.03,-1.26,-0.011428695823623158,0.016420078243370106,0.3505019979928967,0.007531690030234447,0.007963060538483306,0.0135203124389371
1990-08-03,351.48,344.86,351.48,338.2,295880000,15.85,357.13,355.43,-0.45,-1.69,-0.019014273055656616,0.038515374163162086,0.15620881002420006,0.008769307885289315,0.008582155326050542,0.014609063342043151
1990-08-06,344.86,334.43,344.86,333.27,240400000,12.63,354.76,352.63,-1.08,-2.52,-0.03071094746674241,0.03418556531024475,-0.20764976405861546,0.011472270422990953,0.009865563561550725,0.014163644383210409
1990-08-07,334.43,334.83,338.63,332.22,231580000,14.48,352.66,350.25,-1.8,-2.88,0.0011953502304899999,0.01911066582947818,-0.03737881647692376,0.011461274602877615,0.00979716971110488,0.011011037770329005
1990-08-08,334.83,338.35,339.21,334.83,190400000,19.21,350.74,348.67,-2.48,-2.71,0.010457922342501647,0.01299644427952984,-0.1957982638268625,0.01227636150925976,0.010044977958662209,0.012399864250874382
1990-08-09,338.35,339.94,340.56,337.56,155810000,24.0,349.19,347.5,-3.07,-2.34,0.004688268770970616,0.008848049230131494,-0.20048980612800094,0.012680871056855312,0.009932640992427143,0.011849534804568523
1990-08-10,339.94,335.52,339.94,334.22,145340000,25.13,347.78,345.91,-3.63,-2.24,-0.013087564295595655,0.01696967267396854,-0.0695614910407727,0.012953129523961944,0.01001990754304514,0.013236867159213931
1990-08-13,335.52,338.84,335.73,333.13,122820000,30.12,346.56,344.96,-4.08,-1.81,0.009846452409740358,0.007774461309713487,-0.16835595628723965,0.013377368664276084,0.010241937569467622,0.015261348911210667
1990-08-14,335.73,339.39,340.96,335.73,130320000,28.87,345.3,344.22,-4.42,-1.38,0.0016218690431344385,0.015457902852261007,0.059273095392537556,0.01337391575380043,0.01019952209732295,0.019024240480773166
1990-08-15,339.39,340.06,341.92,339.38,136710000,30.84,344.17,343.67,-4.66,-0.95,0.001972184022855039,0.007456368026157456,0.047868929650110914,0.01352031243893697,0.010202694952750935,0.018956111910502386
1990-08-16,340.06,332.39,340.06,332.39,138850000,27.4,342.67,342.16,-4.93,-1.08,-0.022813094336446404,0.022813094336446404,0.015532319808908568,0.01460906334204303,0.010731144810547853,0.01937449770262182
1990-08-17,332.39,327.83,332.39,324.63,212560000,21.73,340.69,340.25,-5.27,-1.35,-0.013813796951755997,0.02362290604122652,0.4258300876987491,0.014163644383210284,0.010762469880682326,0.018857134017963254
1990-08-20,327.83,328.51,329.9,327.07,129630000,21.85,338.71,338.69,-5.61,-1.36,0.00207209752050197,0.008615362968125595,-0.49454006283960794,0.011011037770328847,0.010744784672130407,0.019160291059263916
1990-08-21,328.51,321.86,328.51,318.78,194630000,19.47,336.31,336.44,-6.03,-1.66,-0.02045061047129071,0.030066069170732845,0.40641608164253284,0.01239986425087424,0.011169204512077915,0.019151556992417232
1990-08-22,321.86,316.55,324.15,316.55,175550000,19.03,333.81,333.79,-6.54,-2.05,-0.016635461400213103,0.02372516463086871,-0.10317641764004293,0.011849534804568372,0.010965534688145403,0.018013830475031852
1990-08-23,316.55,307.06,316.55,306.56,250440000,18.11,331.11,330.23,-7.22,-2.74,-0.030438038759382557,0.03206771220764004,0.3552954682626712,0.013236867159213794,0.01152279350278055,0.01758590563659403
1990-08-24,307.06,311.51,311.65,306.18,199040000,28.49,329.47,327.73,-7.89,-2.67,0.014388272210204889,0.01770759895092411,-0.22971356132629595,0.015261348911210547,0.011942822354246416,0.013689276197391515
1990-08-27,311.51,321.44,323.11,311.51,160150000,39.34,328.52,326.89,-8.34,-1.78,0.031379460625666766,0.036561382080773974,-0.21739493349564754,0.019024240480773072,0.013611258030443411,0.013647393317358425
1990-08-28,321.44,321.34,322.2,320.25,127660000,35.68,327.3,326.15,-8.6,-1.06,-0.000311148451435983,0.006070529966029525,-0.22674039622725672,0.018956111910502293,0.013633305696703317,0.009410503749310184
1990-08-29,321.34,324.19,325.83,320.87,134240000,37.02,326.18,325.89,-8.68,-0.3,0.008830011053355236,0.015339716282054106,0.05025876289098363,0.01937449770262173,0.013816439544966877,0.009530163033403009
1990-08-30,324.19,318.71,324.57,317.82,120890000,36.38,324.98,324.93,-8.69,-0.07,-0.01704816526653996,0.021016044583101134,-0.10474820150499298,0.01885713401796316,0.013955991104223193,0.00976590926888538
1990-08-31,318.71,322.56,322.57,316.59,96480000,36.92,323.81,324.62,-8.59,0.4,0.01200756704094541,0.018712605595415432,-0.22554530823502716,0.01916029105926383,0.014232073935739116,0.00834489760730779
1990-09-04,322.56,323.09,323.09,319.11,92940000,36.9,322.65,324.41,-8.4,0.78,0.0016417567383104625,0.012395051249576738,-0.037381609322043374,0.01915155699241714,0.014022021202832746,0.007245279511617643
1990-09-05,323.09,324.39,324.52,320.99,120610000,37.53,321.53,324.41,-8.11,1.14,0.004015573444295484,0.010937197530076936,0.2606080759383218,0.01801383047503176,0.014060035263995085,0.007298061005797218
1990-09-06,324.39,320.46,324.39,319.37,125620000,39.91,320.68,323.88,-7.83,1.13,-0.012189032045821335,0.01559619036743598,0.040699277431080816,0.01758590563659394,0.014096000016582086,0.0071754653930806945
1990-09-07,320.46,323.4,324.18,319.71,123800000,46.15,320.36,323.82,-7.5,1.33,0.009132483563272231,0.01388458218305555,-0.01459411677573641,0.013689276197391399,0.014286818034690282,0.00788060917705825
1990-09-10,323.4,321.63,326.53,320.31,119730000,44.13,319.87,323.53,-7.16,1.33,-0.005488130606748243,0.01923255125121326,-0.03342815252174347,0.013647393317358307,0.014275920338728244,0.0067631241262615886
1990-09-11,321.63,321.04,322.18,319.6,113220000,49.22,319.81,323.2,-6.84,1.29,-0.0018360905775969272,0.00804018167769982,-0.05590637912024121,0.009410503749310005,0.014175267670906414,0.008867984522625721
1990-09-12,321.04,322.54,322.55,319.6,129890000,56.15,320.24,323.11,-6.5,1.36,0.0046614335937089635,0.009187949086131297,0.1373551098106809,0.009530163033402834,0.014222433991444162,0.01043045919895917
1990-09-13,322.54,318.65,322.54,318.02,123390000,63.44,321.07,322.51,-6.21,1.14,-0.012133837792067226,0.01411288566811919,-0.05133786750874947,0.009765909268885207,0.014309488396522846,0.010115287980940928
1990-09-14,318.65,316.83,318.65,314.76,133390000,56.57,321.45,321.76,-5.99,0.89,-0.005727969333809924,0.012282878093520466,0.07792709724250813,0.00834489760730759,0.014240307494136005,0.010222240013220378
1990-09-17,316.83,317.77,318.05,315.21,110600000,44.17,321.19,321.22,-5.8,0.79,0.002962498227179644,0.008969519756020006,-0.18735707906471788,0.007245279511617409,0.013975347486564826,0.012444571741595528
1990-09-18,317.77,318.6,318.85,314.27,141130000,45.75,320.99,320.87,-5.6,0.8,0.002608546822275848,0.01446828372022857,0.24376136233768264,0.007298061005796988,0.012961962606384868,0.01604419725624932
1990-09-19,318.6,316.6,319.35,316.25,147530000,37.9,320.45,320.3,-5.42,0.68,-0.006297250029036583,0.009754639965867895,0.04435009350356012,0.007175465393080459,0.012978091994399818,0.016011230541414644
1990-09-20,316.6,311.48,316.6,310.55,145100000,38.34,319.93,319.13,-5.35,0.3,-0.016304016738126315,0.019294228441599337,-0.016608385039333484,0.007880609177058035,0.013021457624874007,0.016328171852310842
1990-09-21,311.48,311.32,312.17,307.98,201050000,29.43,319.13,318.09,-5.33,0.08,-0.0005138086175984213,0.013513065415350134,0.3261304734531407,0.006763124126261335,0.01295333512699026,0.015551616688422844
1990-09-24,311.32,304.59,311.32,303.58,164070000,22.4,317.81,316.29,-5.44,-0.44,-0.021854712109946384,0.025176154892474045,-0.20326046731649328,0.008867984522625527,0.013285014130529646,0.015607759522476587
1990-09-25,304.55,308.26,308.27,304.23,155940000,27.53,316.66,315.22,-5.55,-0.46,0.011976972737333114,0.013192028048315763,-0.05082184814533619,0.010430459198959005,0.013362759934334055,0.013630875318786914
1990-09-26,308.26,305.06,308.28,303.05,155570000,28.1,315.56,313.86,-5.7,-0.6,-0.0104351041467865,0.017110652512497992,-0.00237552678242281,0.010115287980940756,0.013395477479418149,0.016107619435739653
1990-09-27,305.06,300.97,307.47,299.1,182690000,19.11,313.95,312.14,-5.92,-0.87,-0.013497886564160844,0.027599555875679194,0.16069493624944542,0.010222240013220208,0.013472920917180456,0.016516240680264634
1990-09-28,300.97,306.05,306.05,295.98,201010000,30.34,312.84,311.33,-6.08,-0.61,0.016737895289452354,0.033456602823377146,0.09556393071682834,0.01244457174159539,0.013510686501993928,0.01678750549484916
1990-10-01,306.05,314.94,314.94,306.05,202210000,43.64,312.4,311.81,-6.02,0.2,0.028633657195184625,0.028633657195184625,0.005952103282332644,0.016044197256249216,0.014498821370236017,0.01662158057230871
1990-10-02,314.94,315.21,319.69,314.94,188360000,42.15,311.88,312.27,-5.83,0.78,0.0008569388765300445,0.014969631759957913,-0.0709517359722831,0.016011230541414536,0.014490663781678884,0.013642483197185352
1990-10-03,315.21,311.4,316.26,310.7,135490000,42.22,311.36,312.15,-5.61,0.9,-0.012160823968895507,0.017736843696169124,-0.329457188517015,0.01632817185231074,0.014190342006521363,0.01390946393808188
1990-10-04,311.4,312.69,313.4,308.59,145410000,45.51,311.07,312.22,-5.34,1.07,0.004134025019443044,0.01546679492489389,0.07065950166705548,0.015551616688422736,0.013910213276724735,0.013757910208968311
